source_package,source_alias,type,original_vocal_atlas_path,new_combined_atlas_path,bytes
JARVIS-ChatGPT-main_1,JARVIS,other,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/.gitignore,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Other/1cb3f689a920__.gitignore,3144
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/Agents.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/b762a3ffc5f5__Agents.py,6224
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/Chat.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/e002a99fe0c0__Chat.py,1
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/VirtualAssistant.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/56b8b1c54e97__VirtualAssistant.py,30017
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/__init__.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/a20a965be48c____init__.py,0
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/get_audio.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/bb9d7417f140__get_audio.py,2270
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/research_mode.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/bfbe3f4c6a38__research_mode.py,8206
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/semantic_scholar/S2_tools.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/969125fb0748__S2_tools.py,12689
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/semantic_scholar/__init__.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/40aa56467e4e____init__.py,1
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/semantic_scholar/agent_tools.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/a7e80a979652__agent_tools.py,18434
JARVIS-ChatGPT-main_1,JARVIS,code,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/semantic_scholar/simple.py,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Code/db96ae42ee56__simple.py,4334
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/Sci-Fi-UI.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/9fcf05f3dcd8__Sci-Fi-UI.mp3,514435
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/aborting.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/d778215a1e22__aborting.mp3,33317
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/armor_building.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/1a5d15cc9b0b__armor_building.mp3,1324231
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/data_writing.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/2e470dc9b107__data_writing.mp3,107997
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/error.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/27764946d95d__error.mp3,133001
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/last_answer.wav,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/5aa3718c926b__last_answer.wav,2866220
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/mixkit-robot-moving-fast-1425.wav,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/229a5fb31b22__mixkit-robot-moving-fast-1425.wav,444608
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/mixkit-robot-repair-1407.wav,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/8ed159d30656__mixkit-robot-repair-1407.wav,794530
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/mixkit-robot-retract-mechanism-1405.wav,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/bc4136624be1__mixkit-robot-retract-mechanism-1405.wav,772478
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/retro_confirm_tone.wav,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/319f867c2f56__retro_confirm_tone.wav,325128
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/sleep.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/f4fd9a544411__sleep.mp3,127776
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/system_online_bleep.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/f9cea0290e8e__system_online_bleep.mp3,39962
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/thinking.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/07b5c8cbfa11__thinking.mp3,1203050
JARVIS-ChatGPT-main_1,JARVIS,audio,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/sounds/wake.mp3,03_VOICE_AUDIO_MODEL_ATLAS/JARVIS_Audio/07667e2dda8e__wake.mp3,163377
