accent,age_english_onset,age_sex,audio_url,birth_place,english_learning_method,local_audio_path,native_language,other_languages,speaker_url,years_in_english_country
mandarin,13,"26, female",https://accent.gmu.edu/soundtracks/mandarin1.mp3,"shanxi province, shanxi, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin1.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,
mandarin,14,"38, female",https://accent.gmu.edu/soundtracks/mandarin2.mp3,"nanjing, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin2.mp3,mandarin,japanese,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,
mandarin,10,"43, male",https://accent.gmu.edu/soundtracks/mandarin3.mp3,"jilin city, jilin, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin3.mp3,mandarin,italian german french,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,
mandarin,6,"24, female",https://accent.gmu.edu/soundtracks/mandarin4.mp3,"shanghai, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin4.mp3,mandarin,japanese,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,
mandarin,12,"31, female",https://accent.gmu.edu/soundtracks/mandarin5.mp3,"beijing, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin5.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,
mandarin,12,"28, female",https://accent.gmu.edu/soundtracks/mandarin6.mp3,"le shan, sichuan, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin6.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,
mandarin,5,"22, male",https://accent.gmu.edu/soundtracks/mandarin7.mp3,"berkeley, california, usa",naturalistic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin7.mp3,mandarin,mandarin,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,
mandarin,12,"29, male",https://accent.gmu.edu/soundtracks/mandarin8.mp3,"jingmen, hubei, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin8.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,
mandarin,12,"38, male",https://accent.gmu.edu/soundtracks/mandarin9.mp3,"shanghai, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin9.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,
mandarin,3,"19, male",https://accent.gmu.edu/soundtracks/mandarin10.mp3,"beijing, china",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/mandarin/mandarin10.mp3,mandarin,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,
