audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000555.wav,5.496,AND THAT HE A BOY COULD PERFORM MIRACLES,sample-00,sample-000555,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000657.wav,5.04,A LARGE PIECE SUDDENLY CAME OFF AND FELL WITH A LOUD AND SHARP NOISE,sample-00,sample-000657,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001147.wav,1.968,HAVE YOU SEEN SHERIFF PINK,sample-00,sample-001147,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001352.wav,6.816,THE STRANGE HORSEMAN DREW AN ENORMOUS CURVED SWORD FROM A SCABBARD MOUNTED ON HIS SADDLE,sample-00,sample-001352,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001594.wav,2.136,THAT'S NOT CARSON SPHINX,sample-00,sample-001594,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001696.wav,4.56,AT HIS SIDE WAS THE YOUNG ARAB THE BOY HAD SPOKEN WITH EARLIER,sample-00,sample-001696,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002306.wav,4.104,I POINTED OUT MARS A BRIGHT DOT OF LIGHT,sample-00,sample-002306,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003311.wav,2.136,WHERE HAVE YOU BEEN FOR SO LONG,sample-00,sample-003311,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003455.wav,4.224,AND THIS IS FOR ME SAID THE ALCHEMIST KEEPING ONE OF THE PARTS,sample-00,sample-003455,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003569.wav,3.408,THE TWO WERE TAKEN TO A NEARBY MILITARY CAMP,sample-00,sample-003569,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004040.wav,2.64,I'M NOT AFRAID OF FAILING,sample-00,sample-004040,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004096.wav,3.312,I'VE GOT TO SEE NICOLE RIGHT AWAY,sample-00,sample-004096,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004106.wav,3.24,HE WASN'T AS GOOD AS I WAS EXPECTING,sample-00,sample-004106,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004652.wav,2.928,AND THEY ATTACKED AN EMPTY TENT,sample-00,sample-004652,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005575.wav,5.064,IT KNEW OF THE BOY'S TALK WITH THE DESERT BECAUSE THE WINDS KNOW EVERYTHING,sample-00,sample-005575,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005710.wav,4.896,THEY WENT IN TO DRINK THE TEA WHICH WAS SERVED IN BEAUTIFUL CRYSTAL GLASSES,sample-00,sample-005710,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005805.wav,3.504,BUT THERE'S A TRIBAL WAR THE BOY REITERATED,sample-00,sample-005805,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006122.wav,3.168,YOUR LUCK'S NOT WITH YOU NOW,sample-00,sample-006122,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006378.wav,3.456,HE DISAPPEARED INTO THE TENT,sample-00,sample-006378,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006424.wav,5.28,NOPE NOT GOING UNLESS THEY HAVE A GIANT INFLATABLE SLIDE,sample-00,sample-006424,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007533.wav,4.944,THEN YOU TAUGHT ME SOMETHING OF THE UNIVERSAL LANGUAGE AND THE SOUL OF THE WORLD,sample-00,sample-007533,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007791.wav,3.96,WHEN THE BLINDING DUST HAD SETTLED A BIT THE BOY TREMBLED AT WHAT HE SAW,sample-00,sample-007791,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007882.wav,2.928,HE PAUSED AND HIS EYES WERE STILL UNFRIENDLY,sample-00,sample-007882,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007966.wav,2.184,THE BOY WAS SHOCKED,sample-00,sample-007966,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008152.wav,4.152,I THOUGHT YOU WERE GOING TO TEACH ME SOME OF THE THINGS YOU KNOW,sample-00,sample-008152,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008237.wav,4.032,SHE NEEDS TO GET HER TRANSCRIPTS AND PASSPORT FIRST,sample-00,sample-008237,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008308.wav,2.544,YOU'LL GET INTO A WORSE ONE IF YOU DON'T,sample-00,sample-008308,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008890.wav,2.616,WHAT ARE YOU DOING AROUND HERE,sample-00,sample-008890,newzealand,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-009321.wav,1.824,WHO'S GONNA GET HIM,sample-00,sample-009321,newzealand,dev.csv
