Region Key,Biome Path,Biome Group,Biome Category,Band ID,Canonical Band Name,Band Range,Weather/Life Band,Pixels,World Percent,z min,z mean,z max,Physical Meaning,Formation Rule,Estimated Pixel Count In Realism Update,Dominant Unique Hex Count
4,Ocean/Ocean Surface floating settlement,Ocean,Ocean Surface floating settlement,4,shallow_water_0_180m_below,0-180 m below sea level,0-180 m below the sea,7966,0.5065%,0.0,0.0,0.0,"open blue water, floating routes, harbors, and warm sea roads","Open surface water and floating infrastructure. Render docks, raft-cities, tide roads, mooring pylons, wave fetch, and the full water column beneath. z may display at 0 while bathymetry below still matters.",7966,7009
5,Ocean/Ocean Surface floating settlement,Ocean,Ocean Surface floating settlement,5,deep_water_180_4800m_below,"180-4,800 m below sea level","180-4,800 m below",259871,16.5222%,0.0,0.0,0.0,"open blue water, floating routes, harbors, and warm sea roads","Open surface water and floating infrastructure. Render docks, raft-cities, tide roads, mooring pylons, wave fetch, and the full water column beneath. z may display at 0 while bathymetry below still matters.",259871,48000
6,Ocean/Ocean Surface floating settlement,Ocean,Ocean Surface floating settlement,6,abyssal_4800_8200m_below,"4,800-8,200 m below sea level","4,800-8,200 m below",63695,4.0496%,0.0,0.0,0.0,"open blue water, floating routes, harbors, and warm sea roads","Open surface water and floating infrastructure. Render docks, raft-cities, tide roads, mooring pylons, wave fetch, and the full water column beneath. z may display at 0 while bathymetry below still matters.",63695,1437
14,Ocean/Underwater with reefs,Ocean,Underwater with reefs,4,shallow_water_0_180m_below,0-180 m below sea level,0-180 m below the sea,216479,13.7634%,-180.0,-27.4,-1.0,"reef shelves, luminous shallows, spawning water, coral towns","Shallow, sunlit reef shelf. Render reef flats, lagoons, coral heads, passes, seagrass, fore-reef slopes, and carbonate talus. Depth generally 1-180 m.",216479,68577
24,Ocean/Underwater without reefs,Ocean,Underwater without reefs,4,shallow_water_0_180m_below,0-180 m below sea level,0-180 m below the sea,3237,0.2058%,-180.0,-180.0,-180.0,"deep water, trenches, abyss roads, pressure hazards","Dark water, deep slopes, abyssal plains, trenches, basins, pressure routes, and submarine canyons. Render low light, sediment drape, seeps, vents, and extreme pressure below 180 m.",3237,2332
25,Ocean/Underwater without reefs,Ocean,Underwater without reefs,5,deep_water_180_4800m_below,"180-4,800 m below sea level","180-4,800 m below",56450,3.5890%,-4554.6,-3128.0,-909.1,"deep water, trenches, abyss roads, pressure hazards","Dark water, deep slopes, abyssal plains, trenches, basins, pressure routes, and submarine canyons. Render low light, sediment drape, seeps, vents, and extreme pressure below 180 m.",56450,20159
26,Ocean/Underwater without reefs,Ocean,Underwater without reefs,6,abyssal_4800_8200m_below,"4,800-8,200 m below sea level","4,800-8,200 m below",212660,13.5206%,-8200.0,-6443.2,-5283.6,"deep water, trenches, abyss roads, pressure hazards","Dark water, deep slopes, abyssal plains, trenches, basins, pressure routes, and submarine canyons. Render low light, sediment drape, seeps, vents, and extreme pressure below 180 m.",212660,9047
30,Plains/Grassland,Plains,Grassland,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,7201,0.4578%,0.0,126.5,204.7,"herd plains, storm grass, grazing fire belts","Low to hilly open land. Render drainage swales, herd tracks, storm grass, seasonal fire scars, and gentle sediment surfaces.",7201,1365
31,Plains/Grassland,Plains,Grassland,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",38607,2.4546%,225.9,637.8,1200.0,"herd plains, storm grass, grazing fire belts","Low to hilly open land. Render drainage swales, herd tracks, storm grass, seasonal fire scars, and gentle sediment surfaces.",38607,15588
40,Plains/Prairie,Plains,Prairie,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,994,0.0632%,0.0,102.2,217.6,"dry grass, dustlight, fire season, long winds","Drier open grassland. Render wind exposure, dustlines, dry creek beds, fire belts, and broad low relief.",994,201
41,Plains/Prairie,Plains,Prairie,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",8816,0.5605%,237.4,789.6,1200.0,"dry grass, dustlight, fire season, long winds","Drier open grassland. Render wind exposure, dustlines, dry creek beds, fire belts, and broad low relief.",8816,3200
50,Plains/Farming,Plains,Farming,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,148852,9.4638%,0.0,110.9,220.0,"settled food land, terraces, canals, orchards, grain towns","Settled lowland food land. Render canals, terraces, levees, orchards, field drains, barns, roads, and alluvial soil rather than wild flat color.",148852,60533
61,Mountains/Mountain range,Mountains,Mountain range,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",262,0.0167%,1200.0,1200.0,1200.0,"rain-making ridges, lightning, landslides, rare high ice","High relief terrain. Render connected ridges, passes, talus, scree, ravines, glacial or storm-cut cirques where appropriate, and foothill transitions.",262,104
62,Mountains/Mountain range,Mountains,Mountain range,2,surface_highland_1200_4600m,"1,200-4,600 m above sea level","1,200-4,600 m",19195,1.2204%,1274.5,3286.5,4554.0,"rain-making ridges, lightning, landslides, rare high ice","High relief terrain. Render connected ridges, passes, talus, scree, ravines, glacial or storm-cut cirques where appropriate, and foothill transitions.",19195,4215
63,Mountains/Mountain range,Mountains,Mountain range,3,surface_summit_4600_5200m,"4,600-5,200 m above sea level","4,600-5,200 m",4041,0.2569%,4628.6,4956.7,5200.0,"rain-making ridges, lightning, landslides, rare high ice","High relief terrain. Render connected ridges, passes, talus, scree, ravines, glacial or storm-cut cirques where appropriate, and foothill transitions.",4041,2971
70,Mountains/Valley,Mountains,Valley,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,58,0.0037%,220.0,220.0,220.0,"fog bowls, river villages, fruit belts, protected crossings","Mountain-linked low terrain. Render river floors, slope toes, fans, meanders where gradients fall, and settlements tucked beneath ridges.",58,22
71,Mountains/Valley,Mountains,Valley,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",2951,0.1876%,230.3,841.0,1200.0,"fog bowls, river villages, fruit belts, protected crossings","Mountain-linked low terrain. Render river floors, slope toes, fans, meanders where gradients fall, and settlements tucked beneath ridges.",2951,875
87,Mountains/Deep cavern,Mountains,Deep cavern,7,subterranean_deep_cavern,cavern systems below land/mountain surface,deep cavern / under-road layer,524,0.0333%,-4800.0,-3172.8,-180.0,"under-roads, fungal lamps, mineral rivers, breathless dark","Subsurface terrain under mountains or old rock. Render entrances, shafts, benches, dripstone, lava tubes or karst, under-roads, and vertical leader lines from surface anchor to inhabited depth.",524,147
90,Forest/Deep forest,Forest,Deep forest,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,17166,1.0914%,0.0,131.3,208.4,"canopy thunder, rot, roots, old shade, hidden roads","Dense rooted land with moist soils. Render canopy shade, root mats, deadfall, small streams, fungal ground, and hidden relief.",17166,2437
91,Forest/Deep forest,Forest,Deep forest,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",41592,2.6443%,229.9,601.2,1200.0,"canopy thunder, rot, roots, old shade, hidden roads","Dense rooted land with moist soils. Render canopy shade, root mats, deadfall, small streams, fungal ground, and hidden relief.",41592,13026
100,Forest/Partial forest,Forest,Partial forest,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,29578,1.8805%,0.0,139.2,217.5,"farm-forest edges, hunting roads, timber villages","Mixed woodland and open clearings. Render broken canopy, fields, edge habitats, small gullies, and road corridors.",29578,4414
101,Forest/Partial forest,Forest,Partial forest,1,surface_hills_220_1200m,"220-1,200 m above sea level","220-1,200 m",74350,4.7270%,231.6,569.8,1200.0,"farm-forest edges, hunting roads, timber villages","Mixed woodland and open clearings. Render broken canopy, fields, edge habitats, small gullies, and road corridors.",74350,23230
110,Forest/Treetops - treehouses,Forest,Treetops - treehouses,0,surface_lowland_0_220m,0-220 m above sea level,0-220 m above the sea,447,0.0284%,220.0,220.0,220.0,"high homes, bridge-canopies, cloud leaves, flying messengers","Vertical forest settlement layer. Render canopy platforms, rope/wood bridges, trunk anchors, root bases, and ground-under-canopy terrain.",447,124
