audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000008.wav,1.728,PUT JACKIE RIGHT ON THE STAFF,sample-00,sample-000008,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000023.wav,3.504,I HAD SEEN ALL THAT IT WOULD PRESENTLY BRING ME,sample-00,sample-000023,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000047.wav,5.664,MOST OF THEM WERE STARING QUIETLY AT THE BIG TABLE,sample-00,sample-000047,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000051.wav,6.144,SO THE BOY WAS DISAPPOINTED HE DECIDED THAT HE WOULD NEVER AGAIN BELIEVE IN DREAMS,sample-00,sample-000051,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000059.wav,4.584,FINALLY A YOUNG WOMAN APPROACHED WHO WAS NOT DRESSED IN BLACK,sample-00,sample-000059,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000065.wav,4.464,YOU'RE LOOKING FOR WITCH DOCTORS HE SPOKE SOME VERSES FROM THE KORAN AND MOVED ON,sample-00,sample-000065,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000072.wav,3.864,THE CHARCOAL BURNED AWAY TO WHITE ASH,sample-00,sample-000072,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000073.wav,7.824,THE GREATEST AUTHORITY ON METEORITES STATED THAT THE HEIGHT OF ITS FIRST APPEARANCE WAS ABOUT NINETY OR ONE HUNDRED MILES,sample-00,sample-000073,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000077.wav,7.2,IT WAS FAINTLY MARKED WITH TRANSVERSE STRIPES AND SLIGHTLY FLATTENED FROM THE PERFECT ROUND,sample-00,sample-000077,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000081.wav,3.624,THE SHOP IS EXACTLY THE SIZE I ALWAYS WANTED IT TO BE,sample-00,sample-000081,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000082.wav,3.144,HOW DO YOU HANDLE THE NEGATIVE WEIGHTS,sample-00,sample-000082,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000088.wav,4.272,ALL THIS HAPPENED BETWEEN SUNRISE AND SUNSET THE BOY THOUGHT,sample-00,sample-000088,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000097.wav,3.624,IT'S LATE IN THE EVENING A PERFECT TIME FOR COFFEE,sample-00,sample-000097,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000118.wav,4.296,HIS HANDS WERE ABRADED AND EXHAUSTED BUT HE LISTENED TO HIS HEART,sample-00,sample-000118,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000140.wav,3.552,HE HAD BEEN SO FAR AWAY THAT HIS FACE WASN'T EVEN VISIBLE,sample-00,sample-000140,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000146.wav,2.184,THEY WERE STRANGE BOOKS,sample-00,sample-000146,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000159.wav,3.048,HE WAS ALARMED BY WHAT HAD HAPPENED,sample-00,sample-000159,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000181.wav,3.888,SHOW ME WHERE THERE IS LIFE OUT IN THE DESERT,sample-00,sample-000181,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000184.wav,2.424,THE BOY WAS SHOCKED,sample-00,sample-000184,american,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000194.wav,2.544,THEY FILLED THREE SACKS,sample-00,sample-000194,american,dev.csv
