audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002236.wav,2.832,I DIDN'T DO IT,sample-00,sample-002236,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002488.wav,3.744,BUT MY HEART IS AGITATED THE BOY SAID,sample-00,sample-002488,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-010325.wav,2.952,DO YOU MIND IF I SIT DOWN,sample-01,sample-010325,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-013501.wav,2.952,NO SENSE IN GOING UP THERE,sample-01,sample-013501,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-015611.wav,2.616,I'VE BEEN ALL OVER TOWN,sample-01,sample-015611,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-017098.wav,4.104,ANY DOPE YET ON HOW HE GOT OUT,sample-01,sample-017098,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-018986.wav,2.736,CALIBRATION COMPLETE,sample-01,sample-018986,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-026109.wav,3.864,SHE WAS REMINDED OF HER MISTAKES,sample-02,sample-026109,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-027934.wav,3.384,I HOPE HE GROWS UP TO LOOK LIKE YOU,sample-02,sample-027934,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-036137.wav,3.456,I'M ALSO GOING BACK TO PARIS TODAY,sample-03,sample-036137,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-037523.wav,2.832,WHAT'S THAT GOT TO DO WITH IT,sample-03,sample-037523,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-039335.wav,4.536,YOU COULD SAVE THAT POOR DEVIL'S LIFE,sample-03,sample-039335,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-041258.wav,3.36,I USED TO PITCH,sample-04,sample-041258,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-044328.wav,4.056,FROM THEN ON THE BOY UNDERSTOOD HIS HEART,sample-04,sample-044328,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-045346.wav,4.392,IT ALMOST RETAINED ITS SHAPE,sample-04,sample-045346,hongkong,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-047816.wav,2.904,THE CONCRETE WAS COVERED IN MOSS,sample-04,sample-047816,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-047907.wav,8.304,ABSOLUTELY DESPICABLE THAT GINGERBREAD MEN ARE FORCED TO LIVE IN HOUSES MADE OF THEIR OWN FLESH,sample-04,sample-047907,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-053522.wav,5.76,SO WHEN I LOOK OUT OVER YOUR SANDS I AM ALSO LOOKING AT HER,sample-05,sample-053522,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-055430.wav,2.376,I DIDN'T KNOW WHOSE IT WAS,sample-05,sample-055430,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-056004.wav,5.856,WHOM WOULD I SEE REGARDING THE RETURN OF STOLEN GOVERNMENT MONEY,sample-05,sample-056004,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-059167.wav,2.64,MONDAY MORNING AT FIVE O'CLOCK,sample-05,sample-059167,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-063718.wav,5.04,JUST GIVE ME A FEW HOURS BEFORE YOU MAKE ANY DECISIONS,sample-06,sample-063718,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-063935.wav,3.264,THIS IS WHAT I WISHED FOR,sample-06,sample-063935,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-065434.wav,3.744,PROMISE YOU'LL NEVER LIE THE WAY SNOOPY DID,sample-06,sample-065434,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-066413.wav,1.896,I BET YOU FORGOT THE WINE,sample-06,sample-066413,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-066854.wav,7.416,DARKNESS FELL UPON THE FOUR MEN AS THEY LAY IN WAIT ATOP THE MOUNTAIN,sample-06,sample-066854,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-066910.wav,3.264,SOMETHING TERRIBLY IMPORTANT'S HAPPENED,sample-06,sample-066910,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-068536.wav,2.232,TRY IT AGAIN,sample-06,sample-068536,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-073185.wav,2.184,WHAT'S SO ILLOGICAL ABOUT THAT,sample-07,sample-073185,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-075660.wav,3.096,BUT HE STILL COULDN'T FLEE,sample-07,sample-075660,hongkong,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-079594.wav,2.856,THEY'D NEVER LET YOU GO,sample-07,sample-079594,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-080755.wav,3.792,THE CUSHION WAS SOFT AND INVITING,sample-08,sample-080755,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-081826.wav,3.264,JUST HURRY UP AND GET HERE,sample-08,sample-081826,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-082859.wav,3.072,I JUST GOT RID OF ONE CROWD,sample-08,sample-082859,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-084240.wav,5.76,WITH EVERY DAY THAT PASSED THE BOY'S HEART BECAME MORE AND MORE SILENT,sample-08,sample-084240,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-084426.wav,2.424,YOU WANT THE MOON,sample-08,sample-084426,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-09/wav/sample-090704.wav,10.752,THE EXTENSION TENDS TO CAUSE PAGES TO HANG AND IT REQUIRES THAT YOU SPEAK THE LINK YOU WANT TO CLICK ON,sample-09,sample-090704,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-09/wav/sample-099386.wav,2.592,DO YOU TELL LIES,sample-09,sample-099386,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-10/wav/sample-104949.wav,2.544,ARE YOU ENJOYING LONDON,sample-10,sample-104949,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-112822.wav,7.896,HE DIDN'T WANT ANY CONVERSATION AT THIS POINT,sample-11,sample-112822,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-113173.wav,11.4,WHAT'S HE DOING HERE,sample-11,sample-113173,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-113687.wav,3.144,HOW AM I GOING TO LIVE UNTIL THE BANK OPENS,sample-11,sample-113687,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-115340.wav,6.288,I DIDN'T COME HERE TO HAVE YOU READ MY PALM HE SAID ALREADY REGRETTING HAVING COME,sample-11,sample-115340,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-115796.wav,10.056,I'M NEVER MORE AWARE OF A ROOM'S ACOUSTICS THAN WHEN I'M TRYING TO ENJOY A SNACK I HAVE NO INTENTION OF SHARING,sample-11,sample-115796,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-117392.wav,4.536,YOU JUST DON'T KNOW ALL THAT YOU'VE DONE,sample-11,sample-117392,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-11/wav/sample-119220.wav,4.824,THEY MADE THE BOY CONTINUE DIGGING BUT HE FOUND NOTHING,sample-11,sample-119220,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-12/wav/sample-123289.wav,2.592,I'VE GOT A FLASH FOR YOU,sample-12,sample-123289,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-12/wav/sample-126635.wav,2.256,SHE HAD NO TEMPERATURE,sample-12,sample-126635,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-13/wav/sample-132948.wav,4.608,YOU OLD SORCERER THE BOY SHOUTED UP TO THE SKY,sample-13,sample-132948,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-13/wav/sample-134604.wav,7.584,I DECIDED TO GIVE IT ANOTHER TRY USING THE DRAGONFLY LIBRARY THAT TAVIS RECOMMENDED,sample-13,sample-134604,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-13/wav/sample-136380.wav,4.08,WHERE IS THE TREASURE HE ASKED,sample-13,sample-136380,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-14/wav/sample-144460.wav,1.896,WHY DIDN'T YOU TELL ME,sample-14,sample-144460,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-14/wav/sample-145054.wav,2.568,WHICH VIEW WOULD YOU LIKE,sample-14,sample-145054,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-14/wav/sample-145998.wav,3.216,HOW LONG SINCE WE'VE SEEN EACH OTHER,sample-14,sample-145998,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-14/wav/sample-148049.wav,5.256,BY TOMORROW THEY'LL BE CALLING ME BRUCE BALDWIN,sample-14,sample-148049,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-14/wav/sample-149169.wav,6.456,AS SOON AS HE SAW ME AMONG THE CROWD HE CALLED TO ME TO COME DOWN,sample-14,sample-149169,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-15/wav/sample-151011.wav,4.872,AND THEN THERE WERE THE OTHERS WHO WERE INTERESTED ONLY IN GOLD,sample-15,sample-151011,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-15/wav/sample-157500.wav,4.824,TELL HER I ELECTED HER AND I CAN HAVE HER IMPEACHED,sample-15,sample-157500,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-15/wav/sample-158074.wav,6.12,THE FALCON'S BEAK CARRIES BITS OF ME MYSELF THE DESERT SAID,sample-15,sample-158074,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-15/wav/sample-159997.wav,1.944,JUST HURRY UP AND GET HERE,sample-15,sample-159997,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-16/wav/sample-160546.wav,2.472,ONLY WHEN HE CONSENTS,sample-16,sample-160546,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-16/wav/sample-162055.wav,1.536,NOW WHAT DO YOU SAY,sample-16,sample-162055,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-17/wav/sample-175606.wav,2.256,AND WHAT A WAY TO QUIT,sample-17,sample-175606,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-17/wav/sample-175919.wav,3.528,IT'S CALLED THE PRINCIPLE OF FAVORABILITY,sample-17,sample-175919,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-17/wav/sample-176843.wav,1.344,WHO'S THE TEN FOR,sample-17,sample-176843,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-18/wav/sample-181639.wav,6.144,WE SHARPENED OUR WITS AT UNIVERSITY SO WE COULD HANDLE THIS CRISIS,sample-18,sample-181639,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-18/wav/sample-181909.wav,7.824,YOU'RE LOOKING FOR WITCH DOCTORS HE SPOKE SOME VERSES FROM THE KORAN AND MOVED ON,sample-18,sample-181909,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-18/wav/sample-188888.wav,1.584,SHE WROTE THE STUFF,sample-18,sample-188888,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-18/wav/sample-189620.wav,3.168,HAVE YOU GOT THE SPEECH I GAVE YOU,sample-18,sample-189620,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-18/wav/sample-189622.wav,1.536,HE'S LOOKING FOR YOU,sample-18,sample-189622,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-19/wav/sample-190586.wav,6.288,FOR MOST OWNERS OF THE CAR MODEL THE ISSUE ISN'T NOTICEABLE,sample-19,sample-190586,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-19/wav/sample-192378.wav,4.92,JUST BEGINNING TO GET AN IDEA WHAT THOSE THINGS MEAN,sample-19,sample-192378,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/cv-valid-test/wav/sample-000367.wav,3.312,I'M CRAZY ABOUT ADRIAN,cv-valid-test,sample-000367,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/cv-valid-test/wav/sample-000634.wav,3.576,THEN CAME THE NIGHT OF THE FIRST FALLING STAR,cv-valid-test,sample-000634,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/cv-valid-test/wav/sample-001852.wav,4.776,SHE'S A FEISTY LITTLE FERRET,cv-valid-test,sample-001852,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/cv-valid-test/wav/sample-002506.wav,3.624,THREE CHEERS FOR ADEN CHRISTOPHER,cv-valid-test,sample-002506,hongkong,train.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/cv-valid-dev/wav/sample-001518.wav,3.144,WHAT'S THAT OTHER PAPER GOING TO GIVE YOU,cv-valid-dev,sample-001518,hongkong,train.csv
