audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000180.wav,6.816,YOU'RE STILL A GOOD REPORTER,sample-00,sample-000180,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000247.wav,5.568,IT WAS HOWEVER STILL SO HOT FROM ITS FLIGHT THROUGH THE AIR,sample-00,sample-000247,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000254.wav,3.48,IT ALL HAPPENED RATHER SUDDENLY,sample-00,sample-000254,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000475.wav,3.264,AND TOMORROW HIS ENEMY WOULD ALSO BE A PART OF THAT SOUL,sample-00,sample-000475,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-000584.wav,2.928,BUT THE CRYSTAL MERCHANT HAD NO CHOICE,sample-00,sample-000584,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001096.wav,4.368,IT WAS THE LEVANTER THE WIND THAT CAME FROM AFRICA,sample-00,sample-001096,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001223.wav,2.28,YES THAT'S WHAT LOVE IS,sample-00,sample-001223,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001921.wav,5.016,I HAVE BEEN WAITING FOR HER TO RESPOND FOR TWO DAYS NOW SO I JUST WENT AHEAD AND DID IT FOR HER,sample-00,sample-001921,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001946.wav,3.336,NO DOUBT THE IMPACT HAD CAUSED A FLASH OF FIRE,sample-00,sample-001946,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002076.wav,1.896,WHAT ARE YOU TALKING ABOUT,sample-00,sample-002076,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002279.wav,2.136,I'M JUST A FOOL,sample-00,sample-002279,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002414.wav,7.056,YOU DON'T HAVE TO BE RICH SKINNY POPULAR OR EVEN OWN A CAPE TO PERFORM A RANDOM ACT OF KINDNESS,sample-00,sample-002414,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002589.wav,3.264,YOU SHOULDN'T BE HERE THE ALCHEMIST ANSWERED,sample-00,sample-002589,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003148.wav,2.616,THE IDEA IS STILL GOOD,sample-00,sample-003148,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003346.wav,2.88,THE BOY AWOKE BEFORE DAWN,sample-00,sample-003346,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003511.wav,5.496,A CURRENT OF LOVE RUSHED FROM HIS HEART AND THE BOY BEGAN TO PRAY,sample-00,sample-003511,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003679.wav,3.48,WHEN I RETURNED TO THE COMMON THE SUN WAS SETTING,sample-00,sample-003679,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003766.wav,2.136,THE CINEMA WAS ABANDONED,sample-00,sample-003766,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003833.wav,3.984,THE TOP OF THE CYLINDER WAS ROTATING ON ITS BODY,sample-00,sample-003833,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003925.wav,2.904,IT'S NOT A BATTLE OF GOOD AGAINST EVIL,sample-00,sample-003925,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004028.wav,5.592,I SAW ASTONISHMENT AND HORROR ON THE FACES OF THE PEOPLE AROUND ME,sample-00,sample-004028,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004107.wav,3.888,AS SOON AS HE SAW ME AMONG THE CROWD HE CALLED TO ME TO COME DOWN,sample-00,sample-004107,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004171.wav,1.776,YOU WANT THE MOON,sample-00,sample-004171,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004261.wav,2.904,HE WAS BETTING ON THAT OUTCOME,sample-00,sample-004261,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004846.wav,4.968,REVENGE IS NOT MY STYLE BUT OBVIOUSLY ACCIDENTS WILL HAPPEN,sample-00,sample-004846,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004941.wav,3.144,THE BOY FELL TO THE SAND NEARLY UNCONSCIOUS,sample-00,sample-004941,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004992.wav,3.744,IT HAD TOPPLED OVER THE BRIM AND FALLEN INTO THE PIT,sample-00,sample-004992,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005027.wav,3.456,THEN WHY SHOULD THEY BE SURPRISED WHEN THEY SEE ONE,sample-00,sample-005027,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005049.wav,3.864,I LOCKED EYES WITH A FISH IN THE TANK,sample-00,sample-005049,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005272.wav,3.504,WE BETTER HOLD ONTO THEM BOTH,sample-00,sample-005272,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005372.wav,4.104,HE HOPED THAT IT WOULD BE SOMEONE AS CAPABLE AS HIS PREVIOUS APPRENTICE,sample-00,sample-005372,scottish,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005611.wav,3.096,HE WAS SHAKEN INTO WAKEFULNESS BY SOMEONE,sample-00,sample-005611,scottish,dev.csv
