audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001182.wav,7.224,IT'S CALLED THE PRINCIPLE OF FAVORABILITY,sample-00,sample-001182,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002103.wav,4.224,THEY LOOKED FOR THE FALLEN MASS BUT FOUND NOTHING,sample-00,sample-002103,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-002793.wav,6.264,DON'T LET THEM SEE THAT YOU'RE AFRAID THE ALCHEMIST SAID,sample-00,sample-002793,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003472.wav,4.584,HE APPROACHED THE MASS AND WAS SURPRISED AT THE SIZE AND THE SHAPE,sample-00,sample-003472,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003895.wav,4.536,SOMETIMES THEIR CARAVAN MET WITH ANOTHER,sample-00,sample-003895,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-004465.wav,3.504,THE BOY REPEATED HIS QUESTION,sample-00,sample-004465,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006742.wav,5.184,BECAUSE LIFE WANTS YOU TO ACHIEVE YOUR DESTINY,sample-00,sample-006742,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007226.wav,10.056,I'M NEVER MORE AWARE OF A ROOM'S ACOUSTICS THAN WHEN I'M TRYING TO ENJOY A SNACK I HAVE NO INTENTION OF SHARING,sample-00,sample-007226,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008280.wav,4.824,FOR AT THAT TIME IT HAD NOT OCCURRED TO HIM THAT IT MIGHT BE HOLLOW,sample-00,sample-008280,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-015297.wav,3.384,AND ONE OR TWO PERSONS WERE RETURNING,sample-01,sample-015297,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-015883.wav,5.616,THE ONLY THINGS THAT CONCERNED THE SHEEP WERE FOOD AND WATER,sample-01,sample-015883,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-018587.wav,7.776,THE CARAVANS HAD BEEN STOPPED AT GIZA FOR SOME TIME WAITING FOR THE WARS TO END,sample-01,sample-018587,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-021282.wav,4.704,CURSE THE MOMENT I MET THAT OLD MAN HE THOUGHT,sample-02,sample-021282,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-022443.wav,4.224,I GOT DRUNK YESTERDAY AND THOUGHT I BUILT A SUPER COMPUTER,sample-02,sample-022443,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-024124.wav,8.016,ABSOLUTELY DESPICABLE THAT GINGERBREAD MEN ARE FORCED TO LIVE IN HOUSES MADE OF THEIR OWN FLESH,sample-02,sample-024124,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-026555.wav,5.544,THE TWO MEN HURRIED BACK AND FOUND THE CYLINDER STILL LYING IN THE SAME POSITION,sample-02,sample-026555,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-031802.wav,8.784,PEOPLE FROM ALL OVER THE WORLD HAVE PASSED THROUGH THIS VILLAGE SON SAID HIS FATHER,sample-03,sample-031802,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-032569.wav,6.096,HE HOPED THAT IT WOULD BE SOMEONE AS CAPABLE AS HIS PREVIOUS APPRENTICE,sample-03,sample-032569,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-032681.wav,7.32,IT DOESN'T MATTER HE SAID TO HIS SHEEP,sample-03,sample-032681,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-033376.wav,3.84,BUT THIS'LL TEACH THEM A LESSON,sample-03,sample-033376,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-033829.wav,5.208,REVENGE IS NOT MY STYLE BUT OBVIOUSLY ACCIDENTS WILL HAPPEN,sample-03,sample-033829,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-034015.wav,3.384,THE BOY THOUGHT ABOUT THE CRYSTAL MERCHANT,sample-03,sample-034015,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-035867.wav,4.704,THE FIRST RULE OF DON'T FIGHT CLUB IS LET'S TALK ABOUT IT,sample-03,sample-035867,malaysian,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-035897.wav,3.744,THE BOY AWOKE BEFORE DAWN,sample-03,sample-035897,malaysian,dev.csv
