audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001788.wav,7.464,THERE WAS A FULL MOON AND THE BOY TOLD THE ENGLISHMAN THE STORY OF HIS LIFE,sample-00,sample-001788,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-008393.wav,2.256,I CAN EXPLAIN IF YOU'LL JUST LISTEN,sample-00,sample-008393,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-009111.wav,6.432,FROM HERE ON YOU WILL BE ALONE THE ALCHEMIST SAID,sample-00,sample-009111,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-009133.wav,4.392,SADLY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN,sample-00,sample-009133,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-011440.wav,3.408,IT LEFT A GREENISH STREAK THAT GLOWED FOR SOME SECONDS,sample-01,sample-011440,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-013084.wav,2.448,BUT HE HAD TO MOVE ON,sample-01,sample-013084,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-019830.wav,4.536,THE TOP OF THE CYLINDER WAS ROTATING ON ITS BODY,sample-01,sample-019830,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-023969.wav,7.824,AND HE HADN'T PERCEIVED THEM BECAUSE HE HAD BECOME ACCUSTOMED TO THEM,sample-02,sample-023969,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-02/wav/sample-029705.wav,8.928,REPLACE THE TS IN TIM TEBOW'S NAME WITH ANY OTHER CONSONANT TO GET A STAR WARS CHARACTER,sample-02,sample-029705,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-030509.wav,4.56,I CAN LEARN SOMETHING FROM THE DESERT TOO,sample-03,sample-030509,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-030728.wav,4.44,THE OLD MAN OPENED HIS CAPE AND THE BOY WAS STRUCK BY WHAT HE SAW,sample-03,sample-030728,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-032735.wav,4.104,BUT HE KEPT THE SWORD IN HIS HAND,sample-03,sample-032735,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-033522.wav,4.656,YOU POINT TO A TRAIL OF ANTS LEADING INTO THE HOUSE,sample-03,sample-033522,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-03/wav/sample-035350.wav,4.536,OF COURSE THE TWO WERE UNABLE TO DO ANYTHING,sample-03,sample-035350,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-044457.wav,6.144,I THOUGHT ABOUT WHETHER WE SHOULD FIND COINS AND MODELS IN IT AND SO ON,sample-04,sample-044457,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-048057.wav,3.744,A LARGE PORTION OF THE CYLINDER HAD BEEN UNCOVERED,sample-04,sample-048057,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-04/wav/sample-049181.wav,6.144,I THOUGHT ABOUT WHETHER WE SHOULD FIND COINS AND MODELS IN IT AND SO ON,sample-04,sample-049181,singaporean,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-051422.wav,5.088,THERE WAS NOTHING TO HOLD HIM BACK EXCEPT HIMSELF,sample-05,sample-051422,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-052605.wav,3.144,THANK YOU SAID THE BOY,sample-05,sample-052605,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-055267.wav,3.84,AND HE GAVE THE BOY HIS BLESSING,sample-05,sample-055267,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-058474.wav,2.736,YOU HAVE BEEN A REAL BLESSING TO ME,sample-05,sample-058474,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-05/wav/sample-058621.wav,6.432,MY WIFE POINTED OUT TO ME THE BRIGHTNESS OF THE RED GREEN AND YELLOW SIGNAL LIGHTS,sample-05,sample-058621,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-062199.wav,5.784,AS I WATCHED THE PLANET SEEMED TO GROW LARGER AND SMALLER,sample-06,sample-062199,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-063018.wav,8.256,THE FIRST RULE OF DON'T FIGHT CLUB IS LET'S TALK ABOUT IT,sample-06,sample-063018,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-063720.wav,8.448,HE SPENT THE ENTIRE MORNING OBSERVING THE INFREQUENT COMINGS AND GOINGS IN THE STREET,sample-06,sample-063720,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-06/wav/sample-064619.wav,3.864,THE TIME MUST HAVE BEEN SOMEWHERE AROUND SIX O'CLOCK,sample-06,sample-064619,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-072112.wav,1.896,I'VE HEARD HER SPEAK OF YOU,sample-07,sample-072112,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-074501.wav,6.384,IT'S NOT I THE WIND SPOKE ABOUT,sample-07,sample-074501,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-07/wav/sample-075418.wav,11.76,I REMEMBER HOW I SAT ON THE TABLE THERE IN THE BLACKNESS WITH PATCHES OF GREEN AND CRIMSON SWIMMING BEFORE MY EYES,sample-07,sample-075418,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-08/wav/sample-089715.wav,7.992,IF YOU START YOUR EMAILS WITH GREETINGS LET ME BE THE FIRST TO WELCOME YOU TO EARTH,sample-08,sample-089715,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-09/wav/sample-092257.wav,8.352,THE GUY THOUGHT HE WAS A LUNATIC AT LARGE AND MADE AN UNSUCCESSFUL ATTEMPT TO STOP HIM,sample-09,sample-092257,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-09/wav/sample-093181.wav,7.2,AND HE KNEW WHAT WAS THE FAIR PRICE FOR EVERY ONE OF HIS ANIMALS,sample-09,sample-093181,singaporean,test.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-09/wav/sample-093988.wav,1.968,BUT THEY DON'T COUNT,sample-09,sample-093988,singaporean,test.csv
