identifier,birth_place,native_language,other_languages,age,sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_name
afrikaans1,"virginia, south africa",afrikaans,tswana,27.0,female,9.0,academic,usa,0.5 years,afrikaans1.mp3
afrikaans2,"pretoria, south africa",afrikaans,dutch german french,40.0,male,5.0,academic,usa,10 years,afrikaans2.mp3
afrikaans3,"pretoria, transvaal, south africa",afrikaans,gujarati sindhi french,43.0,male,4.0,naturalistic,usa,20.7 years,afrikaans3.mp3
afrikaans4,"pretoria, south africa",afrikaans,flemish dutch,26.0,male,8.0,academic,usa,15 years,afrikaans4.mp3
afrikaans5,"cape town, south africa",afrikaans,none,19.0,male,6.0,academic,australia,9 years,afrikaans5.mp3
afrikaans6,"capetown, south africa",afrikaans,german korean,29.0,male,5.0,naturalistic,south africa,23 years,afrikaans6.mp3
agni1,"diekabo, ivory coast",agni,french,25.0,male,15.0,academic,usa,1.2 years,agni1.mp3
akan1,"accra, ghana",akan,none,41.0,male,5.0,academic,"ghana, usa",41 years,akan1.mp3
albanian1,"prishtina, kosovo",albanian,serbian macedonian bosnian,19.0,male,6.0,naturalistic,usa,3 years,albanian1.mp3
albanian2,"tirana, albania",albanian,german italian,33.0,male,15.0,naturalistic,usa,0.04 years,albanian2.mp3
albanian3,"tirana, albania",albanian,italian french russian greek spanish,44.0,male,35.0,naturalistic,usa,9 years,albanian3.mp3
albanian4,"mitrovice, kosovo",albanian,german serbian,33.0,male,28.0,academic,usa,5 years,albanian4.mp3
albanian5,"vlore, albania",albanian,italian,31.0,male,11.0,academic,usa,8 years,albanian5.mp3
albanian6,"prishtina, kosovo",albanian,serbian,25.0,female,11.0,academic,usa,10 years,albanian6.mp3
albanian7,"prishtina, kosovo",albanian,serbian,45.0,female,11.0,academic,usa,12 years,albanian7.mp3
albanian8,"prishtina, kosovo",albanian,serbian,43.0,female,9.0,academic,usa,13 years,albanian8.mp3
albanian9,"tirana, albania",albanian,german italian french spanish latin,22.0,female,6.0,naturalistic,usa,1.4 years,albanian9.mp3
albanian10,"elbasan, albania",albanian,french,30.0,male,11.0,naturalistic,usa,19 years,albanian10.mp3
