accent,age_english_onset,age_sex,audio_url,birth_place,english_learning_method,local_audio_path,native_language,other_languages,speaker_url,years_in_english_country
russian,36,"37, male",https://accent.gmu.edu/soundtracks/russian1.mp3,"nizhni novgorod, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian1.mp3,russian,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=299,
russian,10,"50, female",https://accent.gmu.edu/soundtracks/russian2.mp3,"izmail, ukraine",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian2.mp3,russian,polish czech,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=302,
russian,6,"35, female",https://accent.gmu.edu/soundtracks/russian3.mp3,"zaporizhzhya, ukraine",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian3.mp3,russian,ukrainian,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=303,
russian,38,"68, female",https://accent.gmu.edu/soundtracks/russian4.mp3,"moscow, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian4.mp3,russian,albanian,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=304,
russian,15,"25, female",https://accent.gmu.edu/soundtracks/russian5.mp3,"khabarovsk, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian5.mp3,russian,hebrew,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=305,
russian,11,"26, female",https://accent.gmu.edu/soundtracks/russian6.mp3,"moscow, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian6.mp3,russian,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=306,
russian,13,"54, female",https://accent.gmu.edu/soundtracks/russian7.mp3,"kiev, ukraine",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian7.mp3,russian,ukrainian,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=307,
russian,12,"66, male",https://accent.gmu.edu/soundtracks/russian8.mp3,"moscow, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian8.mp3,russian,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=308,
russian,7,"23, male",https://accent.gmu.edu/soundtracks/russian9.mp3,"moscow, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian9.mp3,russian,hebrew italian,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=309,
russian,5,"20, female",https://accent.gmu.edu/soundtracks/russian10.mp3,"moscow, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian10.mp3,russian,french polish german japanese welsh,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=300,
russian,13,"54, male",https://accent.gmu.edu/soundtracks/russian11.mp3,"ola magadan, russia",academic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian11.mp3,russian,french german,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=301,
russian,53,"62, male",https://accent.gmu.edu/soundtracks/russian12.mp3,"st. petersburg, russia",naturalistic,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch24/data/russian/russian12.mp3,russian,none,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=460,
