audio_path,duration,text,subject_id,utt_id,accent,source_split_file
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-001590.wav,2.544,I'M JUST TOO MISERABLE,sample-00,sample-001590,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-003933.wav,3.672,LOVE IS THE FALCON'S FLIGHT OVER YOUR SANDS,sample-00,sample-003933,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005077.wav,6.168,CONTINUE IN THE DIRECTION OF THE PYRAMIDS SAID THE ALCHEMIST,sample-00,sample-005077,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-005514.wav,6.696,THE LAND WAS RUINED AND I HAD TO FIND SOME OTHER WAY TO EARN A LIVING,sample-00,sample-005514,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006079.wav,5.4,AS I WATCHED THE PLANET SEEMED TO GROW LARGER AND SMALLER,sample-00,sample-006079,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006216.wav,4.296,EVEN THEN HE HARDLY UNDERSTOOD WHAT THIS MEANT,sample-00,sample-006216,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-006738.wav,2.904,PIZZA IS AN ITALIAN CLASSIC,sample-00,sample-006738,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-00/wav/sample-007190.wav,4.872,THE BOY TOOK THEM TO THE CLIFF WHERE HE HAD BEEN ON THE PREVIOUS DAY,sample-00,sample-007190,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-010933.wav,2.904,THEY'LL BELIEVE HIM,sample-01,sample-010933,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-011639.wav,4.728,AT HIS SIDE WAS THE YOUNG ARAB THE BOY HAD SPOKEN WITH EARLIER,sample-01,sample-011639,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-011837.wav,5.544,BUT BEFORE I GO I WANT TO TELL YOU A LITTLE STORY,sample-01,sample-011837,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-012168.wav,7.272,IN THOSE DAYS VERY FEW OF THE PEOPLE HAD ANY IDEA ABOUT ASTRONOMY,sample-01,sample-012168,philippine,dev.csv
/data/mtseng/voice_datasets/CommonVoice_v11/data/sample-01/wav/sample-012410.wav,7.944,THE YEARS OF RESEARCH THE MAGIC SYMBOLS THE STRANGE WORDS AND THE LABORATORY EQUIPMENT,sample-01,sample-012410,philippine,dev.csv
